Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoClimateAdapt,TBox,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoClimateAdapt,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoClimateAdapt,TBox,"OntoClimateAdapt is an ontology designed to provide a formal semantic representation of data related to climate change adaptation research, initiatives, and actions. It enables the standardized description, integration, and interoperable exchange of information to support the development of resilient societies and adaptive capacities in the face of climate change.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoClimateAdapt,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
ClimateChange,Class,EnvironmentalPhenomenon,IS-A,,,,An Environmental Phenomenon that represents a persistent alteration in the statistical properties of the climate system.,,
ClimateChange,Class,EarthSystemPhenomenon,IS-A,,,,,,
hasCause,Object Property,,,ClimateChange,GreenhouseGasEmission,,"A causal relationship between an effect (or phenomenon) and the process, or event responsible for its occurrence.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasCause
hasEffect,Object Property,,,ClimateChange,MeteorologicalExtremeEvent UNION SeaLevelRise UNION OceanAcidification,,"A causal relationship between a phenomenon and the observable processes, events, or conditions that result from it.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasEffect
studiedBy,Object Property,,,ClimateChange,AtmosphericScience UNION EnvironmentalScience UNION Paleoclimatology,,The relationship between a natural or environmental phenomenon and the scientific disciplines that systematically investigate it.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,studiedBy
affects,Object Property,,,ClimateChange,Ecology UNION HumanHealth UNION Economy,,"An influence relationship between a phenomenon, process, or event and the systems, entities, or domains that experience its impact.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,affects
adaptedThrough,Object Property,,,ClimateChange,AdaptationMeasure,,,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,adaptedThrough
AdaptationMeasure,Class,,,,,,"A deliberate action, strategy, or intervention implemented to reduce the adverse impacts of climate change",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,AdaptationMeasure
ClimateAdaptationAction ,Class,AdaptationMeasure,IS-A,,,,A concrete activity or measure undertaken to reduce the impacts of climate change or increase the resilience of human or natural systems.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,ClimateAdaptationAction 
PolicyIntervention,Class,AdaptationMeasure,IS-A,,,,"A governance-led adaptation measure implemented through regulations, policies, legislation, incentives, or planning frameworks.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,PolicyIntervention
InfrastructureResilienceMeasure ,Class,AdaptationMeasure,IS-A,,,,"An adaptation measure that strengthens, upgrades, or redesigns physical infrastructure to withstand climate-related hazards.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,InfrastructureResilienceMeasure 
measuredBy,Object Property,,,ClimateChange,ClimateModel UNION SatelliteObservation UNION MeteorologicalStation,,"The source of measurement, estimation, or observation through which evidence of climate change is obtained.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,measuredBy
ClimateModel,Class,,,,,,A computational model that applies mathematical equations to simulate the behaviour of the Earth’s climate system.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,ClimateModel
