Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoCompMat,TBox,http://www.theworldavatar.com/kg/ontocompmat,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoCompMat,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoCompMat,TBox,OntoCompMat is an ontology developed for representing composite composite materials.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoCompMat,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Composite Material,Class,http://emmo.info/emmo#EMMO_ec7464a9_d99d_45f8_965b_4e9230ea8356,IS-A,,,,"A material consisting of two or more distinct phases bonded together (Comprehensive Composite Materials, 2000). A composite material is composed from at least two materials, where one is the reinforcing material and other is the matrix material (Advanced Composite Materials for Automotive Applications, 2013). ",http://www.theworldavatar.com/kg/ontocompmat,Composite Material
Monolithic Material,Class,http://emmo.info/emmo#EMMO_ec7464a9_d99d_45f8_965b_4e9230ea8356,IS-A,,,,"A material with a solid structure manufactured from a single material (Construction and Building Materials, 2023).",http://www.theworldavatar.com/kg/ontocompmat,Monolithic Material
Composite Based on Matrix Material,Class,Composite Material,IS-A,,,,"A composite material in which the type of matrix plays a key role in determining the mechanical, thermal, chemical, and electrical properties of the composite.",http://www.theworldavatar.com/kg/ontocompmat,Composite Based on Matrix Material
Polymer Matrix Composite,Class,Matrix Material Based Composite,IS-A,,,,A composite material in which the matrix is based on polymer.,http://www.theworldavatar.com/kg/ontocompmat,Polymer matrix composite
Metal Matrix Composite,Class,Matrix Material Based Composite,IS-A,,,,A composite material in which the matrix is based on metal.,http://www.theworldavatar.com/kg/ontocompmat,Metal matrix composite
Ceramic Matrix Composite,Class,Matrix Material Based Composite,IS-A,,,,A composite material in which the matrix is based on ceramic.,http://www.theworldavatar.com/kg/ontocompmat,Ceramic matrix composite
Carbon Matrix Composite,Class,Matrix Material Based Composite,IS-A,,,,A composite material in which the matrix is based on carbon or graphite.,http://www.theworldavatar.com/kg/ontocompmat,Carbon matrix composite
Thermoplastic Matrix Composite,Class,Polymer Matrix Composite,IS-A,,,,A composite material in which the matrix material is a thermoplastic polymer.,http://www.theworldavatar.com/kg/ontocompmat,Thermoplastic matrix composite
Thermoset Matrix Composite,Class,Polymer Matrix Composite,IS-A,,,,A composite material in which the matrix material is a thermosetting polymer.,http://www.theworldavatar.com/kg/ontocompmat,Thermoset matrix composite
Carbon Carbon Composite,Class,Carbon Matrix Composite,IS-A,,,,A carbon matrix composite in which carbon fibres are embedded in the matrix.,http://www.theworldavatar.com/kg/ontocompmat,Carbon–carbon composite
Epoxy Based Composite,Class,Thermoset Matrix Composite,IS-A,,,,A thermoset matrix composite where the matrix is built with epoxy.,http://www.theworldavatar.com/kg/ontocompmat,Epoxy Based Composite
Phenolic Based Composite,Class,Thermoset Matrix Composite,IS-A,,,,A thermoset matrix composite where the matrix is built with phenolic resin.,http://www.theworldavatar.com/kg/ontocompmat,Phenolic Based Composite
