Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoDataDoc,TBox,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoDataDoc,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoDataDoc,TBox,OntoDataDoc is an ontology designed for the represention of data documentation,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoDataDoc,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Dataset,Class,,,,,,"A collection of related data, which may include quantitative, qualitative or descriptive values",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,Dataset
http://xmlns.com/foaf/spec#Agent,Class,,,,,,"A person, organisation, software or physical artefact",http://xmlns.com/foaf/spec,Agent
https://www.w3.org/TR/vocab-dcat-3#Distribution,Class,,,,,,,https://www.w3.org/TR/vocab-dcat-3,Distribution
DataCategory,Class,,,,,,The broader thematic group or domain to which a dataset belongs,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,Data Category
http://purl.org/dc/terms/Location,Class,,,,,,,http://purl.org/dc/terms,Location
http://purl.org/dc/terms/LinguisticSystem,Class,,,,,,,http://purl.org/dc/terms,Linguistic System
Subject,Class,,,,,,The main topic or theme of the dataset,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,Subject
DataSource,Class,,,,,,The source from which the data is obtained,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,Data Source
Publication,Class,,,,,,An article describing the dataset,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,Publication
Publisher,Class,,,,,,An entity or organisation responsible for making the dataset publicly available,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,Publisher
DataContent,Class,,,,,,"The elements, characteristics and relationships that constitute the contents of the dataset",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,Data Content
