Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoEarthquake,TBox,http://www.theworldavatar.com/kg/ontoearthquake,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoEarthquake,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoEarthquake,TBox,OntoEarthquake is an ontology developed to represent earthquake hazards,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoEarthquake,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
http://sweetontology.net/phen/Event,Class,,,,,,,http://sweetontology.net/phen,Event
Hazard,Class,http://sweetontology.net/phen/Event,IS-A,,,,Any natural calamity that causes human and animal suffering and damage to environment.,http://www.theworldavatar.com/kg/ontoearthquake,Hazard
Stage,Class,,,,,,A phase in the progression of a hazard event.,http://www.theworldavatar.com/kg/ontoearthquake,Stage
EmbryonicStage,Class,Stage,IS-A,,,,"The initial phase of hazard formation, where the necessary conditions for the event begin to develop.",http://www.theworldavatar.com/kg/ontoearthquake,Embryonic Stage
GrowthStage,Class,Stage,IS-A,,,,The phase where the hazard starts gaining intensity and spreading.,http://www.theworldavatar.com/kg/ontoearthquake,Growth Stage
MatureStage,Class,Stage,IS-A,,,,"The peak or most intense phase of the hazard, causing the most damage and destruction.",http://www.theworldavatar.com/kg/ontoearthquake,Mature Stage
DecayingStage,Class,Stage,IS-A,,,,"The phase where the hazard starts to weaken, dissipate, or recede, though residual impacts may persist.",http://www.theworldavatar.com/kg/ontoearthquake,Decaying Stage
http://www.w3.org/2006/time#Interval,Class,,,,,,,http://www.w3.org/2006/time,Interval
hasStage,Object Property,,,http://sweetontology.net/phen/Event,Stage,,This property describes the different phases or stages that a hazard event undergoes.,http://www.theworldavatar.com/kg/ontoearthquake,has Stage
precededBy,Object Property,,,Stage,Stage,,This property indicates a temporal relationship where one event or stage occurs before another.,http://www.theworldavatar.com/kg/ontoearthquake,preceded By
http://www.w3.org/2006/time#Instant,Class,,,,,,,http://www.w3.org/2006/time#,Instant
hasTimeInterval,Object Property,,,http://sweetontology.net/phen/Event UNION Stage,http://www.w3.org/2006/time#Interval,exactly 1,A relationship between an event or stage and the time interval associated with the duration of the event.,http://www.theworldavatar.com/kg/ontoearthquake,has Time Interval
http://www.w3.org/2006/time#hasBeginning,Object Property,,,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Instant,exactly 1,,https://www.w3.org/2006/time,has Beginning
http://www.w3.org/2006/time#hasEnd,Object Property,,,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Instant,exactly 1,,https://www.w3.org/2006/time,has End
EnvironmentalComponent,Class,,,,,,"Natural components of the environment (e.g. biodiversity, natural habitats, animal species, etc.).",https://www.theworldavatar.com/kg/ontoearthquake/,Environmental Component
LivingBeing,Class,,,,,,"An organism, such as a person or an animal, that can be affected by hazards.",https://www.theworldavatar.com/kg/ontoearthquake/,Living Being
http://xmlns.com/foaf/0.1/Person,Class,LivingBeing,IS-A,,,,People who inhabit a territory or state.,http://xmlns.com/foaf,Person
Animal,Class,LivingBeing,IS-A,,,,Non-human living organisms potentially affected by a hazard,http://www.theworldavatar.com/kg/ontoearthquake,Animal
InfrastructureComponent,Class,,,,,,Manmade basic structures or features needed for the functioning of a system or organization.,https://www.theworldavatar.com/kg/ontoearthquake/,Infrastructure Component
affects,Object Property,,,http://purl.obolibrary.org/obo/ENVO_01000677 UNION http://purl.obolibrary.org/obo/ENVO_01000787,EnvironmentalComponent UNION LivingBeing UNION InfrastructureComponent,,A relationship between an earthquake and affected entities.,https://www.theworldavatar.com/kg/ontoearthquake/,affects
Water,Class,,,,,,"Hazards can contaminate water bodies, leading to pollution, reduced water quality, and harm to aquatic life.",https://www.theworldavatar.com/kg/ontoearthquake/,Water
Air,Class,,,,,,Hazards can pollute air affecting air quality and leading to health issues in humans and ecosystem.,https://www.theworldavatar.com/kg/ontoearthquake/,Air
Soil,Class,,,,,,"Hazards can contaminate soil, reducing soil fertility, harming plant growth, and posing risks to human and animal health through food chains.",https://www.theworldavatar.com/kg/ontoearthquake/,Soil
Vegetation,Class,,,,,,"Hazards can damage or destroy plant life, reducing biodiversity, and disrupting ecosystem.",https://www.theworldavatar.com/kg/ontoearthquake/,Vegetation
Ecosystem,Class,,,,,,Hazards can disrupt ecosystem balance to long-term environmental degradation.,https://www.theworldavatar.com/kg/ontoearthquake/,Ecosystem
NetworkInfrastructure,Class,InfrastructureComponent,IS-A,,,,"Network systems, i.e. installations and facilities spreading across land.",https://www.theworldavatar.com/kg/ontoearthquake/,Network Infrastructure
ArealInfrastructure,Class,InfrastructureComponent,IS-A,,,,Areal installations and land-uses.,https://www.theworldavatar.com/kg/ontoearthquake/,Areal Infrastructure
MobilityNetwork,Class,NetworkInfrastructure,IS-A,,,,"Network-shaped infrastructure to enable transport of people and goods (e.g. roads, railroads).",https://www.theworldavatar.com/kg/ontoearthquake/,Mobility Network
ProvisioningNetwork,Class,NetworkInfrastructure,IS-A,,,,"Network-shaped infrastructure for provisioning goods (e.g. electricity, gas, water).",https://www.theworldavatar.com/kg/ontoearthquake/,Provisioning Network
ResidentialInfrastructure,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of residential buildings.,https://www.theworldavatar.com/kg/ontoearthquake/,Residential Infrastructure
CommercialInfrastructure,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of commercial buildings.,https://www.theworldavatar.com/kg/ontoearthquake/,Commercial Infrastructure
IndustrialInfrastructure,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of industrial buildings.,https://www.theworldavatar.com/kg/ontoearthquake/,Industrial Infrastructure
CriticalInfrastructure,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of critical buildings.,https://www.theworldavatar.com/kg/ontoearthquake/,Critical Infrastructure
Impact,Class,,,,,,Consequences of an event taking place.,https://www.theworldavatar.com/kg/ontoearthquake/,Impact
resultsIn,Object Property,,,Hazard,Impact,,A relationship between an Event and its effects.,https://www.theworldavatar.com/kg/ontoearthquake/,results In
http://www.ontology-of-units-of-measure.org/resource/om-2/Number,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Number
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Amount Of Money
