Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoFlood,TBox,https://www.theworldavatar.com/kg/ontoflood/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoFlood,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoFlood,TBox,"The Flood Risk Monitoring ontology (OntoFlood) is an ontology developed for representing flood events as well as flood warnings, together with the risk and (potential) impacts imposed by those events.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoFlood,TBox,https://raw.githubusercontent.com/cambridge-cares/TheWorldAvatar/refs/heads/main/JPS_Ontology/ontology/ontoflood/OntoFlood%20TBox.owl,http://www.w3.org/2002/07/owl#imports,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000710,Class,,,,,,,http://purl.obolibrary.org/obo/envo.owl,Flood
http://sweetontology.net/phen/Event,Class,,,,,,,http://sweetontology.net/phen,Event
Hazard,Class,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000710,Class,Hazard,IS-A,,,,,https://www.theworldavatar.com/kg/ontoflood/,Flood
Hazard,Class,http://sweetontology.net/phen/Event,IS-A,,,,,https://www.theworldavatar.com/kg/ontoflood/,Flood
Stage,Class,,,,,,"A phase in the progression of a hazard event that represents a specific period in the hazard’s lifecycle, from its initiation to its dissipation.",,Stage
EmbryonicStage,Class,,,,,,"The initial phase of hazard formation, where the necessary conditions for the event begin to develop.",,Embryonic Stage
GrowthStage,Class,,,,,,The phase where the hazard starts gaining intensity and spreading.,,Growth Stage
MatureStage,Class,,,,,,"The peak or most intense phase of the hazard, causing the most damage and destruction.",,Mature Stage
DecayingStage,Class,,,,,,"The phase where the hazard starts to weaken, dissipate, or recede, though residual impacts may persist.",,Decaying Stage
http://www.w3.org/2006/time#Interval,Class,,,,,,,,Interval
hasStage,Object Property,,,http://sweetontology.net/phen/Event,Stage,,This property describes the different phases or stages that a hazard event undergoes.,,has Stage
precededBy,Object Property,,,Stage,Stage,,This property indicates a temporal relationship where one event or stage occurs before another.,,preceded By
http://www.w3.org/2006/time#Instant,Class,,,,,,,,Instant
hasTimeInterval,Object Property,,,http://sweetontology.net/phen/Event,http://www.w3.org/2006/time#Interval,exactly 1,A relationship between an event and the time interval associated with the duration of the event.,https://www.theworldavatar.com/kg/ontoflood/,has TimeInterval
http://www.w3.org/2006/time#hasBeginning,Object Property,,,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Instant,,,https://www.w3.org/2006/time,has Beginning
http://www.w3.org/2006/time#hasEnd,Object Property,,,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Instant,,,https://www.w3.org/2006/time,has End
https://www.theworldavatar.com/kg/ontolandslide/Landslide,Class,,,,,,,,
triggers,Object Property,,,http://purl.obolibrary.org/obo/ENVO_01000710,https://www.theworldavatar.com/kg/ontolandslide/Landslide,,,https://www.theworldavatar.com/kg/ontoflood/,Flood
http://purl.obolibrary.org/obo/ENVO_01000711 ,Class,http://purl.obolibrary.org/obo/ENVO_01000710,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Coastal flood
http://purl.obolibrary.org/obo/ENVO_01000712 ,Class,http://purl.obolibrary.org/obo/ENVO_01000710,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Riverine flood
http://purl.obolibrary.org/obo/ENVO_01000713 ,Class,http://purl.obolibrary.org/obo/ENVO_01000710,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Flash flood
http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Quantity
EnvironmentalComponent,Class,,,,,,"Natural components of the environment (e.g. biodiversity, natural habitats, animal species, etc.).",https://www.theworldavatar.com/kg/ontoflood/,Environmental component
LivingBeing,Class,,,,,,"including humans and animals, that may be impacted by earthquakes.",https://www.theworldavatar.com/kg/ontoflood/,Living Being
Population,Class,LivingBeing,IS-A,,,,People who inhabit a territory or state.,https://www.theworldavatar.com/kg/ontoflood/,Population
