Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoHeatwave,TBox,http://www.theworldavatar.com/kg/ontoheatwave,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoHeatwave,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoHeatwave,TBox,OntoHeatwave is an ontology developed to represent heatwave hazard,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoHeatwave,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
http://sweetontology.net/phen/Event,Class,,,,,,,http://sweetontology.net/phen,Event
http://www.w3.org/2006/time#Interval,Class,,,,,,,http://www.w3.org/2006/time#,Interval
http://www.w3.org/2006/time#Instant,Class,,,,,,,http://www.w3.org/2006/time#,Instant
Heatwave,Class,Hazard,IS-A,,,,"A sudden and violent shaking of the ground, caused by movements within the earth’s crust.",http://www.theworldavatar.com/kg/ontoheatwave,heatwave
Hazard,Class,http://sweetontology.net/phen/Event,IS-A,,,,"A potentially harmful event or phenomenon that may cause loss of life, injury, property damage, or environmental disruption.",http://www.theworldavatar.com/kg/ontoheatwave,Hazard
Intensity,Class,,,,,,Describing its intensity of heat,http://www.theworldavatar.com/kg/ontoheatwave,Heatwave
http://www.theworldavatar.com/kg/ontowildfire/Fire,Class,http://sweetontology.net/phen/Event,IS-A,,,,,http://www.theworldavatar.com/kg/ontoheatwave,Fire
hasTimeInterval,Object Property,,,http://sweetontology.net/phen/Event,http://www.w3.org/2006/time#Interval,,Relates an event or phenomenon to a specific period or duration of time.,http://www.theworldavatar.com/kg/ontoheatwave,has Time Interval
http://www.w3.org/2006/time#hasBeginning,Object Property,,,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Instant,,,https://www.w3.org/2006/time,has Beginning
http://www.w3.org/2006/time#hasEnd,Object Property,,,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Instant,,,https://www.w3.org/2006/time,has End
triggers,Object Property,,,Heatwave,https://www.theworldavatar.com/kg/ontowildfire/Wildfire,,A hazard initiates or contributes to the occurrence of another hazard,http://www.theworldavatar.com/kg/ontoheatwave,triggers
Stage,Class,,,,,,"A phase in the progression of a hazard event that represents a specific period in the hazard’s lifecycle, from its initiation to its dissipation.",http://www.theworldavatar.com/kg/ontoheatwave,Stage
EmbryonicStage,Class,Stage,IS-A,,,,"The initial phase of hazard formation, where the necessary conditions for the event begin to develop.",http://www.theworldavatar.com/kg/ontoheatwave,Embryonic Stage
GrowthStage,Class,Stage,IS-A,,,,The phase where the hazard starts gaining intensity and spreading.,http://www.theworldavatar.com/kg/ontoheatwave,Growth Stage
MatureStage,Class,Stage,IS-A,,,,"The peak or most intense phase of the hazard, causing the most damage and destruction.",http://www.theworldavatar.com/kg/ontoheatwave,Mature Stage
DecayingStage,Class,Stage,IS-A,,,,"The phase where the hazard starts to weaken, dissipate, or recede, though residual impacts may persist.",http://www.theworldavatar.com/kg/ontoheatwave,Decaying Stage
hasStage,Object Property,,,http://sweetontology.net/phen/Event,Stage,,This property describes the different phases or stages that a hazard event undergoes.,http://www.theworldavatar.com/kg/ontoheatwave,has Stage
precededBy,Object Property,,,Stage,Stage,,This property indicates a temporal relationship where one event or stage occurs before another.,http://www.theworldavatar.com/kg/ontoheatwave,preceded By
Intensity,Class,,,,,,The measurable magnitude or severity of a heatwave,http://www.theworldavatar.com/kg/ontoheatwave,Intensity
hasIntensity,Object Property,,,Heatwave,Intensity,,"Links a heatwave to its intensity classification, indicating how severe the heatwave is.",http://www.theworldavatar.com/kg/ontoheatwave,has Intensity
hasDuration,Data Property,,,Heatwave,Integer,,Represents the total duration of a heatwave in terms of time.,http://www.theworldavatar.com/kg/ontoheatwave,has Duration
hasMaxTemperature,Data Property,,,Heatwave,float,,Records the highest temperature reached during a heatwave,http://www.theworldavatar.com/kg/ontoheatwave,has Maximum Temperature
hasAvgTemperature,Data Property,,,Heatwave,float,,Represents the average temperature recorded over the duration of a heatwave,http://www.theworldavatar.com/kg/ontoheatwave,has Average Temperature
hasHumidityLevel,Data Property,,,Heatwave,float,,"Indicates the humidity percentage associated with a heatwave, which influences perceived heat and health impacts.",http://www.theworldavatar.com/kg/ontoheatwave,has Humidity Level
http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Quantity
EnvironmentalComponent,Class,,,,,,"Natural components of the environment (e.g. biodiversity, natural habitats, animal species, etc.).",http://www.theworldavatar.com/kg/ontoheatwave,Environmental component
LivingBeing,Class,,,,,,"including humans and animals, that may be impacted by earthquakes.",http://www.theworldavatar.com/kg/ontoheatwave,Living Being
Population,Class,LivingBeing,IS-A,,,,People who inhabit a territory or state.,http://www.theworldavatar.com/kg/ontoheatwave,Population
Animal,Class,LivingBeing,IS-A,,,,Non-human living organisms potentially affected by a hazard,http://www.theworldavatar.com/kg/ontoheatwave,Animal
InfrastructureComponent,Class,,,,,,Manmade basic structures or features needed for the functioning of a system or organization.,http://www.theworldavatar.com/kg/ontoheatwave,Infrastructure component
affects,Object Property,,,http://purl.obolibrary.org/obo/ENVO_01000710,EnvironmentalComponent UNION Population UNION InfrastructureComponent,,A relationship between a Hazard and affected entities.,http://www.theworldavatar.com/kg/ontoheatwave,affects
Water,Class,,,,,,"Hazards can contaminate water bodies, leading to pollution, reduced water quality, and harm to aquatic life.",http://www.theworldavatar.com/kg/ontoheatwave,Water
Air,Class,,,,,,Hazards can pollute air affecting air quality and leading to health issues in humans and ecosystem.,http://www.theworldavatar.com/kg/ontoheatwave,Air
Soil,Class,,,,,,"Hazards can contaminate soil, reducing soil fertility, harming plant growth, and posing risks to human and animal health through food chains.",http://www.theworldavatar.com/kg/ontoheatwave,Soil
Vegetation,Class,,,,,,"Hazards can damage or destroy plant life, reducing biodiversity, and disrupting ecosystem.",http://www.theworldavatar.com/kg/ontoheatwave,Vegetation
Ecosystem,Class,,,,,,Hazards can disrupt ecosystem balance to long-term environmental degradation.,http://www.theworldavatar.com/kg/ontoheatwave,Ecosystem
NetworkInfrastructure,Class,InfrastructureComponent,IS-A,,,,"Network systems, i.e. installations and facilities spreading across land.",http://www.theworldavatar.com/kg/ontoheatwave,Network infrastructure
ArealInfrastructure,Class,InfrastructureComponent,IS-A,,,,Areal installations and land-uses.,http://www.theworldavatar.com/kg/ontoheatwave,Areal infrastructure
MobilityNetwork,Class,NetworkInfrastructure,IS-A,,,,"Network-shaped infrastructure to enable transport of people and goods (e.g. roads, railroads).",http://www.theworldavatar.com/kg/ontoheatwave,Mobility network
ProvisioningNetwork,Class,NetworkInfrastructure,IS-A,,,,"Network-shaped infrastructure for provisioning goods (e.g. electricity, gas, water).",http://www.theworldavatar.com/kg/ontoheatwave,Provisioning network
ResidentialInfrastructure,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of residential buildings.,http://www.theworldavatar.com/kg/ontoheatwave,ResidentialArea
CommercialInfrastructure,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of commercial buildings.,http://www.theworldavatar.com/kg/ontoheatwave,CommercialArea
IndustrialInfrastructure,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of industrial buildings.,http://www.theworldavatar.com/kg/ontoheatwave,IndustrialArea
Impact,Class,,,,,,Consequences of an event taking place.,http://www.theworldavatar.com/kg/ontoheatwave,Impact
resultsIn,Object Property,,,Hazard,Impact,,A relationship between an Event and its effects.,http://www.theworldavatar.com/kg/ontoheatwave,results in
hasMonetaryValue,Object Property,,,Impact,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,exactly 1,A relationship between an Impact and the quantification of its cumulative effects in monetary terms.,http://www.theworldavatar.com/kg/ontoheatwave,has monetary value
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Amount Of Money
causesLossOfLifeOf,Object Property,,,Hazard,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,This property links a hazard to the quantity representing the loss of life it causes.,http://www.theworldavatar.com/kg/ontoheatwave,causes Loss Of Life Of
causesEvacuationOf,Object Property,,,Hazard,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,This property associates a hazard with the quantity representing the number of evacuations it causes.,http://www.theworldavatar.com/kg/ontoheatwave,causes Evacuation Of
endangersOf,Object Property,,,Hazard,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,This property connects a hazard to the quantity representing the entities it endangers.,http://www.theworldavatar.com/kg/ontoheatwave,endangers Of
causesDamageOf,Object Property,,,Hazard,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,This property links a hazard to the quantity representing the damage it causes.,http://www.theworldavatar.com/kg/ontoheatwave,cause Damage Of
indicatesQuantityOf,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,EnvironmentalComponent UNION Population UNION InfrastructureComponent,,"This property associates a quantity with the environmental component, population, or infrastructure component it indicates.",http://www.theworldavatar.com/kg/ontoheatwave,indicates Quantity Of
hasAffectedArea,Object Property,,,InfrastructureComponent,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,,A relationship between an affected Infrastructure Component and the corresponding area affected.,http://www.theworldavatar.com/kg/ontoheatwave,has affected area
MitigationStrategy,Class,,,,,,"A set of actions, technologies, or policies designed to reduce or counteract the effects of heatwaves in urban and natural environments.",http://www.theworldavatar.com/kg/ontoheatwave,Mitigation Strategy
CoolingMaterials,Class,,,,,,Materials specifically designed or selected to reduce heat absorption and enhance thermal comfort in buildings and urban spaces.,http://www.theworldavatar.com/kg/ontoheatwave,Cooling Materials
MaterialType,Class,,,,,,"A classification of materials based on their physical or chemical properties, affecting their thermal behavior and suitability for heat mitigation.",http://www.theworldavatar.com/kg/ontoheatwave,Material Type
MaterialColour,Class,,,,,,"The visual appearance of a material, which influences its solar reflectance and heat absorption properties, impacting urban heat island mitigation.",http://www.theworldavatar.com/kg/ontoheatwave,Material Colour
Greenery,Class,,,,,,"Vegetation-based solutions, including urban forests, green roofs, and vertical gardens, that contribute to cooling and climate resilience.",http://www.theworldavatar.com/kg/ontoheatwave,Greenery
PlantSpecies,Class,,,,,,"Specific types of plants used in urban environments for heat mitigation, selected based on their adaptability, shading potential, and evapotranspiration efficiency.
",http://www.theworldavatar.com/kg/ontoheatwave,Plant Species
EvaporativeCooling,Class,,,,,,"A natural or artificial cooling process where water evaporates to absorb heat, reducing ambient temperature in urban and indoor environments.",http://www.theworldavatar.com/kg/ontoheatwave,Evaporative Cooling
WaterBody,Class,,,,,,"Natural or artificial water features, such as lakes, ponds, and fountains, that contribute to local cooling through evaporation and thermal regulation.",http://www.theworldavatar.com/kg/ontoheatwave,Water Body
PerformanceMetrics,Class,,,,,,A set of measurable criteria used to evaluate the effectiveness of heat mitigation strategies in reducing urban heat and improving thermal comfort.,http://www.theworldavatar.com/kg/ontoheatwave,Performance Metrics
EnvironmentalMetrics,Class,,,,,,"Indicators that assess the ecological and climatic benefits of heat mitigation measures, such as temperature reduction, air quality improvement, and biodiversity support.",http://www.theworldavatar.com/kg/ontoheatwave,Environmental Metrics
SocialMetrics,Class,,,,,,"Measures that evaluate the impact of heat mitigation strategies on human well-being, including health benefits, comfort levels, and accessibility.",http://www.theworldavatar.com/kg/ontoheatwave,Social Metrics
EconomicMetrics,Class,,,,,,"Financial and cost-related indicators used to assess the economic viability, return on investment, and cost-effectiveness of heatwave mitigation strategies.",http://www.theworldavatar.com/kg/ontoheatwave,Economic Metrics
isMitigatedBy,Object Property,,,Heatwave,MitigationStrategy,,Specifies the actions taken in response to a heatwave.,http://www.theworldavatar.com/kg/ontoheatwave,action Taken
isEvaluatedBy,Object Property,,,MitigationStrategy,PerformanceMetrics,,Refers to the department responsible for the response.,http://www.theworldavatar.com/kg/ontoheatwave,response By
isAppliedIn,Object Property,,,MitigationStrategy,Location,,Denotes the logistics used during the response to a heatwave.,http://www.theworldavatar.com/kg/ontoheatwave,used Logistics
isMeasuredBy,Object Property,,,PerformanceMetrics,"some(EnvironmentalMetrics, SocialMetrics, EconomicMetrics)",,Identifies the input parameters used for heatwave forecasting.,http://www.theworldavatar.com/kg/ontoheatwave,has Input Parameter
hasMaterialType,Object Property,,,CoolingMaterials,MaterialType,,Connects an input parameter to its data source.,http://www.theworldavatar.com/kg/ontoheatwave,has Data Source
hasMaterialColour,Object Property,,,CoolingMaterials,MaterialColour,,,http://www.theworldavatar.com/kg/ontoheatwave,has Material Colour
hasPlantSpecies,Object Property,,,Greenary,PlantSpecies,,Specifies the location for which a heatwave forecast is made.,http://www.theworldavatar.com/kg/ontoheatwave,has Forecast Location
hasAttachedWaterBody,Object Property,,,EvaporativeCooling,WaterBody,,Relates an evaporative cooling system to a nearby or associated water body that contributes to the cooling effect.,https://www.theworldavatar.com/kg/ontoflood/,attached water body
hasAirTempReduction,Data Property,,,PerformanceMetrics,float,,Represents the measured reduction in air temperature due to a specific cooling intervention or strategy.,http://www.theworldavatar.com/kg/ontoheatwave,has Air Temperature Reduction
hasEnergySaving,Data Property,,,PerformanceMetrics,float,,Indicates the amount of energy saved as a result of implementing cooling technologies or strategies.,http://www.theworldavatar.com/kg/ontoheatwave,has Energy Saving
hasThermalComfortIndex,Data Property,,,PerformanceMetrics,float,,A numerical value representing the level of thermal comfort achieved by a cooling intervention based on environmental and human comfort parameters.,http://www.theworldavatar.com/kg/ontoheatwave,has Thermal Comfort Index
hasMeltingTemperature,Data Property,,,CoolingMaterials,float,,Specifies the temperature at which a cooling material transitions from a solid to a liquid state.,http://www.theworldavatar.com/kg/ontoheatwave,has Melting Temperature
hasSolarReflectivityIndex,Data Property,,,CoolingMaterials,number,,"Represents the ability of a cooling material to reflect solar radiation, affecting its cooling efficiency.",http://www.theworldavatar.com/kg/ontoheatwave,has Solar Reflectivity Index
hasTreeDepth,Data Property,,,Greenery,float,,"Indicates the depth of tree roots or the density of tree coverage, which influences cooling effects and water absorption.",http://www.theworldavatar.com/kg/ontoheatwave,has Tree Dept
hasTreeCanopyCoverage,Data Property,,,Greenery,humber,,"Measures the percentage of land area covered by the tree canopy, impacting shading and cooling effects.",http://www.theworldavatar.com/kg/ontoheatwave,has Tree Canopy Coverage
hasEvaporationCapacity,Data Property,,,EvaporativeCooling,number,,"Represents the amount of water that can evaporate from a cooling system, influencing its cooling efficiency.",http://www.theworldavatar.com/kg/ontoheatwave,has Evaporation Capacity
hasCoolingRange,Data Property,,,EvaporativeCooling,number,,Specifies the spatial extent or effectiveness of an evaporative cooling system in reducing temperature.,http://www.theworldavatar.com/kg/ontoheatwave,has Cooling Range
HeatwaveAlertOrWarning,Class,,,,,,A notification issued based on predictive analysis or real-time monitoring indicating potential or imminent Heatwave risk in a specific area.,http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave alert or warning
HeatwaveArea,Class,,,,,,Area for which a Heatwave warning or alert service is provided (i.e. area to which a Heatwave warning/alert applies).,http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave area
HeatwaveAlertOrWarningHistory,Class,,,,,,A collection of all previously issued Heatwave warnings and alerts.,http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave alert or warning history
https://www.theworldavatar.com/kg/ontotimeseries/TimeSeries,Class,,,,,,,https://www.theworldavatar.com/kg/ontotimeseries/,Time Series
currentWarning,Object Property,,,HeatwaveArea,HeatwaveAlertOrWarning,,,http://www.theworldavatar.com/kg/ontoHeatwave,current warning
