Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoLandslide,TBox,http://www.theworldavatar.com/kg/ontowildfire/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoLandslide,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoLandslide,TBox,OntoLandslide is an ontology developed to represent landslide hazard,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoLandslide,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Landslide,Class,Hazard,IS-A,,,,"A mass movement of earth, rock, or debris down a slope, typically caused by gravitational pull.",http://www.theworldavatar.com/kg/ontolandslide,Landslide
http://purl.obolibrary.org/obo/ENVO_01000710,Class,Hazard,IS-A,,,,,http://purl.obolibrary.org/obo/,Flood
Hazard,Class,http://sweetontology.net/phen/Event,IS-A,,,,"A potentially harmful event or phenomenon that may cause loss of life, injury, property damage, or environmental disruption.",http://www.theworldavatar.com/kg/ontolandslide,Hazard
Stage,Class,,,,,,"A phase in the progression of a hazard event that represents a specific period in the hazard’s lifecycle, from its initiation to its dissipation.",http://www.theworldavatar.com/kg/ontolandslide,Stage
EmbryonicStage,Class,,,,,,"The initial phase of hazard formation, where the necessary conditions for the event begin to develop.",http://www.theworldavatar.com/kg/ontolandslide,Embryonic Stage
GrowthStage,Class,,,,,,The phase where the hazard starts gaining intensity and spreading.,http://www.theworldavatar.com/kg/ontolandslide,Growth Stage
MatureStage,Class,,,,,,"The peak or most intense phase of the hazard, causing the most damage and destruction.",http://www.theworldavatar.com/kg/ontolandslide,Mature Stage
DecayingStage,Class,,,,,,"The phase where the hazard starts to weaken, dissipate, or recede, though residual impacts may persist.",http://www.theworldavatar.com/kg/ontolandslide,Decaying Stage
http://www.w3.org/2006/time#Interval,Class,,,,,,,http://www.theworldavatar.com/kg/ontolandslide,Interval
hasStage,Object Property,,,http://sweetontology.net/phen/Event,Stage,,This property describes the different phases or stages that a hazard event undergoes.,http://www.theworldavatar.com/kg/ontolandslide,has Stage
precededBy,Object Property,,,Stage,Stage,,This property indicates a temporal relationship where one event or stage occurs before another.,http://www.theworldavatar.com/kg/ontolandslide,preceded By
http://www.w3.org/2006/time#Instant,Class,,,,,,,http://www.theworldavatar.com/kg/ontolandslide,Instant
hasTimeInterval,Object Property,,,http://sweetontology.net/phen/Event,http://www.w3.org/2006/time#Interval,exactly 1,A relationship between an event and the time interval associated with the duration of the event.,http://www.theworldavatar.com/kg/ontolandslide,has TimeInterval
http://www.w3.org/2006/time#hasBeginning,Object Property,,,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Instant,,,https://www.w3.org/2006/time,has Beginning
http://www.w3.org/2006/time#hasEnd,Object Property,,,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Instant,,,https://www.w3.org/2006/time,has End
triggers,Object Property,,,http://purl.obolibrary.org/obo/ENVO_01000710,https://www.theworldavatar.com/kg/ontolandslide/Landslide,,A hazard initiates or contributes to the occurrence of another hazard,http://www.theworldavatar.com/kg/ontolandslide,triggers
hasLocation,Object Property,,,http://sweetontology.net/phen/Event,Location,,A relationship between an event and a geographic location,http://www.theworldavatar.com/kg/ontolandslide,has Location
http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Quantity
EnvironmentalComponent,Class,,,,,,"Natural components of the environment (e.g. biodiversity, natural habitats, animal species, etc.).",http://www.theworldavatar.com/kg/ontolandslide,Environmental component
LivingBeing,Class,,,,,,"including humans and animals, that may be impacted by earthquakes.",http://www.theworldavatar.com/kg/ontolandslide,Living Being
Population,Class,LivingBeing,IS-A,,,,People who inhabit a territory or state.,http://www.theworldavatar.com/kg/ontolandslide,Population
Animal,Class,LivingBeing,IS-A,,,,Non-human living organisms potentially affected by a hazard,http://www.theworldavatar.com/kg/ontolandslide,Animal
InfrastructureComponent,Class,,,,,,Manmade basic structures or features needed for the functioning of a system or organization.,http://www.theworldavatar.com/kg/ontolandslide,Infrastructure component
affects,Object Property,,,Hazard,EnvironmentalComponent UNION Population UNION InfrastructureComponent,,A relationship between a landslide and affected entities.,http://www.theworldavatar.com/kg/ontolandslide,affects
Water,Class,,,,,,"Hazards can contaminate water bodies, leading to pollution, reduced water quality, and harm to aquatic life.",http://www.theworldavatar.com/kg/ontolandslide,Water
Air,Class,,,,,,Hazards can pollute air affecting air quality and leading to health issues in humans and ecosystem.,http://www.theworldavatar.com/kg/ontolandslide,Air
Soil,Class,,,,,,"Hazards can contaminate soil, reducing soil fertility, harming plant growth, and posing risks to human and animal health through food chains.",http://www.theworldavatar.com/kg/ontolandslide,Soil
Vegetation,Class,,,,,,"Hazards can damage or destroy plant life, reducing biodiversity, and disrupting ecosystem.",http://www.theworldavatar.com/kg/ontolandslide,Vegetation
