Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoMatPassport,TBox,http://www.theworldavatar.com/kg/ontomatpassport/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoMatPassport,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoMatPassport,TBox,The Material Passport Ontology (MPO) is an ontology developed for representing material passports of products and components. It is also known as OntoMatPassport.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoMatPassport,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Product,Class,,,,,,An artefact manufactured in an industrial setting to meet the demands of consumers and usually consists of multiple parts.,http://www.theworldavatar.com/kg/ontomatpassport,Product
Component,Class,,,,,,Part of a bigger whole that can be a system or a product of composite nature.,http://www.theworldavatar.com/kg/ontomatpassport,Component
http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,Class,,,,,,,http://emmo.info/emmo,Material
MaterialPassport,Class,,,,,,"A passport or document providing identification, physical, temporal, sustainability and other properties of a product or component.",http://www.theworldavatar.com/kg/ontomatpassport,MaterialPassport
https://dbpedia.org/ontology/Country,Class,,,,,,A political entity associated with a territory considered a motherland to a nation ruled by a government.,https://dbpedia.org/ontology,Country
http://purl.org/dc/dcmitype/Image,Class,,,,,,A visual representation of an inanimate or animate object captured through technological means or drawn by humans.,http://purl.org/dc/dcmitype,Image
IndustrialStakeholder,Class,,,,,,"An entity involved in economic activities, services, or processes related to the production, transformation, distribution, collection, or recycling of goods at an industrial scale.",http://www.theworldavatar.com/kg/ontomatpassport,IndustrialStakeholder
Manufacturer,Class,IndustrialStakeholder,IS-A,,,,"A business, company or entity manufacturing products for the consumer market.",http://www.theworldavatar.com/kg/ontomatpassport,Manufacturer
Supplier,Class,IndustrialStakeholder,IS-A,,,,"A business, company or entity supplying products to another business, company or entity.",http://www.theworldavatar.com/kg/ontomatpassport,Supplier
Collector,Class,IndustrialStakeholder,IS-A,,,,"A business, company or entity gathering end-of-life products from another business, company or entity for reuse, recycling, or disposal.",http://www.theworldavatar.com/kg/ontomatpassport,Collector
Recycler,Class,IndustrialStakeholder,IS-A,,,,"A business, company or entity recycling end-of-life products to produce recycled feedstock for manufacturing industries.",http://www.theworldavatar.com/kg/ontomatpassport,Recycler
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,Class,,,,,,A characteristic of an object that can be applied in determining its use in applications.,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,Property
https://w3id.org/mdo/core/PhysicalProperty,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,A property to express the physical aspect of an object.,https://w3id.org/mdo/core,PhysicalProperty
ThermalProperty,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,A property to express the thermal aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,ThermalProperty
TemporalProperty,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,A property to express the temporal aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,TemporalProperty
CompositionProperty,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,A property to describe the composition aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,CompositionProperty
ChemicalProperty,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,A property to express the chemical aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,ChemicalProperty
BiologicalProperty,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,A property to express the biological feature of an object.,http://www.theworldavatar.com/kg/ontomatpassport,BiologicalProperty
CircularityProperty,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,A property that expresses the circular economy aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,CircularityProperty
EnvironmentalProperty,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,A property that expresses the environmental aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,EnvironmentalProperty
Dimension,Class,https://w3id.org/mdo/core/PhysicalProperty,IS-A,,,,A physical propertythat describes the dimension of an object.,http://www.theworldavatar.com/kg/ontomatpassport,Dimension
Height,Class,Dimension,IS-A,,,,A dimensional property expressing the height of an object.,http://www.theworldavatar.com/kg/ontomatpassport,Height
Width,Class,Dimension,IS-A,,,,A dimensional property expressing the width of an object.,http://www.theworldavatar.com/kg/ontomatpassport,Width
Length,Class,Dimension,IS-A,,,,A dimensional property expressing the length of an object.,http://www.theworldavatar.com/kg/ontomatpassport,Length
Mass,Class,https://w3id.org/mdo/core/PhysicalProperty,IS-A,,,,A physical property to describe the mass of an object.,http://www.theworldavatar.com/kg/ontomatpassport,Mass
Density,Class,https://w3id.org/mdo/core/PhysicalProperty,IS-A,,,,A physical property that describes the density of an object.,http://www.theworldavatar.com/kg/ontomatpassport,Density
Rigidity,Class,https://w3id.org/mdo/core/PhysicalProperty,IS-A,,,,The physical property of being stiff and resisting bending [WordNet 3.1],http://www.theworldavatar.com/kg/ontomatpassport,Rigidity
ShearModulus,Class,Rigidity,IS-A,,,,The rigidity of an object to shearing forces.,http://www.theworldavatar.com/kg/ontomatpassport,ShearModulus
YoungsModulus,Class,Rigidity,IS-A,,,,The elastic rigidity of an object to stress.,http://www.theworldavatar.com/kg/ontomatpassport,YoungsModulus
Resistance,Class,https://w3id.org/mdo/core/PhysicalProperty,IS-A,,,,Any mechanical force that tends to retard or oppose motion [WordNet 3.1],http://www.theworldavatar.com/kg/ontomatpassport,Resistance
CompressiveStrength,Class,Resistance,IS-A,,,,The resistance of an object to compressive forces.,http://www.theworldavatar.com/kg/ontomatpassport,CompressiveStrength
ShearStrength,Class,Resistance,IS-A,,,,The resistance of an object to shearing forces.,http://www.theworldavatar.com/kg/ontomatpassport,ShearStrength
TensileStrength,Class,Resistance,IS-A,,,,The resistance of an object to tensile forces.,http://www.theworldavatar.com/kg/ontomatpassport,TensileStrength
ExpectedLifetime,Class,TemporalProperty,IS-A,,,,A temporary property expressing the duration an object may serve its intended purpose.,http://www.theworldavatar.com/kg/ontomatpassport,ExpectedLifetime
ExpectedLifetime,Class,CircularityProperty,IS-A,,,,,http://www.theworldavatar.com/kg/ontomatpassport,ExpectedLifetime
ServiceLife,Class,TemporalProperty,IS-A,,,,A temporary property expressing the duration an object may serve its intended purpose.,http://www.theworldavatar.com/kg/ontomatpassport,ServiceLife
ServiceLife,Class,CircularityProperty,IS-A,,,,,http://www.theworldavatar.com/kg/ontomatpassport,ServiceLife
http://www.ontology-of-units-of-measure.org/resource/om-2/HeatTransferCoefficient,Class,ThermalProperty,IS-A,,,,A thermal property that describes the heat transfer coefficient of an object.,http://www.ontology-of-units-of-measure.org/resource/om-2,HeatTransferCoefficient
http://www.ontology-of-units-of-measure.org/resource/om-2/ThermalConductivity,Class,ThermalProperty,IS-A,,,,A thermal property that describes the capacity of an object to conduct heat.,http://www.ontology-of-units-of-measure.org/resource/om-2,ThermalConductivity
Flammability,Class,ChemicalProperty,IS-A,,,,A property that determines the ease and intensity with which an object can ignite and burn.,http://www.theworldavatar.com/kg/ontomatpassport,Flammability
Toxicity,Class,ChemicalProperty,IS-A,,,,A property that indicates the degree to which a substance can be harmful or poisonous.,http://www.theworldavatar.com/kg/ontomatpassport,Toxicity
Biodegradability,Class,BiologicalProperty,IS-A,,,,"A property expressing whether an object is entirely, partially or not biodegradable.",http://www.theworldavatar.com/kg/ontomatpassport,Biodegradability
ConstituentMaterial,Class,CompositionProperty,IS-A,,,,A property to describe the type and amount of constituent materials belonging to an object.,http://www.theworldavatar.com/kg/ontomatpassport,ConstituentMaterial
ConstituentMaterial,Class,http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,EQUIVALENT-TO,,,,,,
ConstituentPart,Class,CompositionProperty,IS-A,,,,A part or component of a bigger whole or component or product.,http://www.theworldavatar.com/kg/ontomatpassport,ConstituentPart
ConstituentPart,Class,Component,EQUIVALENT-TO,,,,,,
FeedstockFractionFromRecycledProduct,Class,CircularityProperty,IS-A,,,,The fraction of feedstock from recycled products.,http://www.theworldavatar.com/kg/ontomatpassport,FR
FeedstockFractionFromReusedProduct,Class,CircularityProperty,IS-A,,,,The fraction of feedstock from reused products.,http://www.theworldavatar.com/kg/ontomatpassport,FU
LinearFlowIndex,Class,CircularityProperty,IS-A,,,,"The proportion of material that moves from its origin as virgin materials to its final state as non-recyclable waste [Ellen MacArthur Foundation, 2015]",http://www.theworldavatar.com/kg/ontomatpassport,LFI
MaterialCircularityIndicator,Class,CircularityProperty,IS-A,,,,A measure of how circular the materials of a product are.,http://www.theworldavatar.com/kg/ontomatpassport,MCI
ProductFractionCollectedForRecycling,Class,CircularityProperty,IS-A,,,,The fraction of a product collected for recycling.,http://www.theworldavatar.com/kg/ontomatpassport,CR
ProductFractionCollectedForReuse,Class,CircularityProperty,IS-A,,,,The fraction of a product collected for reuse.,http://www.theworldavatar.com/kg/ontomatpassport,CU
RecyclingEfficiencyForPortionCollectedForRecycling,Class,CircularityProperty,IS-A,,,,The recycling efficiency of a portion collected from a product for recycling.,http://www.theworldavatar.com/kg/ontomatpassport,EC
RecyclingEfficiencyForProducingFeedstock,Class,CircularityProperty,IS-A,,,,The recycling efficiency in producing recycled feedstock.,http://www.theworldavatar.com/kg/ontomatpassport,EF
VirginContentMass,Class,CircularityProperty,IS-A,,,,The mass of virgin content in a product.,http://www.theworldavatar.com/kg/ontomatpassport,VirginContentMass
WasteMassAfterTakingRecyclableReusablePortion,Class,CircularityProperty,IS-A,,,,The mass of waste that remains after the recyclable and reusable materials have been separated and that cannot be turned into useful materials.,http://www.theworldavatar.com/kg/ontomatpassport,W0
WasteMassGeneratedInProducingRecycledFeedstock,Class,CircularityProperty,IS-A,,,,The mass of waste generated while producing recycled feedstock.,http://www.theworldavatar.com/kg/ontomatpassport,WF
WasteMassGeneratedInRecyclingCollectedPortion,Class,CircularityProperty,IS-A,,,,The mass of waste generated while recycling the collected portion of a product.,http://www.theworldavatar.com/kg/ontomatpassport,WC
TotalWasteMass,Class,CircularityProperty,IS-A,,,,The total mass of waste generated from both the recycling and reuse processes.,http://www.theworldavatar.com/kg/ontomatpassport,W
Mass,Class,CircularityProperty,IS-A,,,,,http://www.theworldavatar.com/kg/ontomatpassport,Mass
