Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoWildfire,TBox,http://www.theworldavatar.com/kg/ontowildfire/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoWildfire,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoWildfire,TBox,OntoWildfire is an ontology developed to represent wildfires.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoWildfire,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Fire,Class,,,,,,"A general concept representing any combustion event that emits heat, light, and smoke, often causing destruction.",http://www.theworldavatar.com/kg/ontowildfire/,Fire
Wildfire,Class,Hazard owl:intersectionOf Fire,IS-A,,,,"A type of uncontrolled fire occurring in natural areas such as forests, grasslands, or prairies.",http://www.theworldavatar.com/kg/ontowildfire/,Wildfire
StructuralFire,Class,Fire,IS-A,,,,A fire that occurs in or damages man-made structures like buildings or bridges.,http://www.theworldavatar.com/kg/ontowildfire/,Structural Fire
SurfaceFire,Class,Fire,IS-A,,,,"A fire that burns on the ground, consuming vegetation and surface litter.",http://www.theworldavatar.com/kg/ontowildfire/,Surface Fire
GroundFire,Class,Fire,IS-A,,,,"A fire that burns below the surface, consuming organic material in the soil like peat or roots.",http://www.theworldavatar.com/kg/ontowildfire/,Ground Fire
CrownFire,Class,Fire,IS-A,,,,"A fire that spreads to the tops of trees or shrubs, often more intense and difficult to control.",http://www.theworldavatar.com/kg/ontowildfire/,Crown Fire
VolcanicFire,Class,Fire,IS-A,,,,"A fire resulting from volcanic activity, typically involving lava and other volcanic material.",http://www.theworldavatar.com/kg/ontowildfire/,Volcanic Fire
http://sweetontology.net/phen/Event,Class,,,,,,,http://sweetontology.net/phen,Event
Hazard,Class,http://sweetontology.net/phen/Event,IS-A,,,,"A potentially harmful event or phenomenon that may cause loss of life, injury, property damage, or environmental disruption.",http://www.theworldavatar.com/kg/ontowildfire/,Hazard
http://www.w3.org/2006/time#Interval,Class,,,,,,,http://www.w3.org/2006/time#,Interval
http://www.w3.org/2006/time#Instant,Class,,,,,,,http://www.w3.org/2006/time#,Instant
hasTimeInterval,Object Property,,,http://sweetontology.net/phen/Event,http://www.w3.org/2006/time#Interval,,Relates an event or phenomenon to a specific period or duration of time.,http://www.theworldavatar.com/kg/ontowildfire/,has Time Interval
